"","1772066102_E02","1772067073_F10","1772062116_C06","1772063068_C12","1772062113_D11","1772066089_C07","1772066089_B03","1772066100_D12","1772066102_E04","1772066077_A01","1772063071_B12","1772067076_A09","1772063062_F03","1772063063_C08","1772071036_C02","1772066098_B11","1772066073_C01","1772066073_A10","1772058148_E12","1772063061_A09","1772066101_D08","1772066077_H12","1772067063_D03","1772067073_C02","1772060225_F06","1772066102_D12","1772067070_B11","1772066095_B11","1772066096_G11","1772066101_E11"
"Ccdc74a",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl14",4,2,2,6,4,1,1,3,4,2,4,2,2,0,11,3,3,0,1,0,1,4,4,1,3,0,0,3,0,4
"7630403G23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A030009H04Rik",1,0,0,2,7,4,3,0,3,1,0,5,0,0,11,0,11,1,0,0,2,4,1,0,0,2,0,0,0,1
"St13",4,1,2,1,5,7,4,2,3,5,0,0,2,0,9,3,3,4,2,4,1,1,0,0,0,4,2,1,1,3
"Gpr124",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zscan12",0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lrdd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hs3st2",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Ssr3",0,3,0,0,0,2,1,1,3,1,0,0,1,3,11,3,1,0,0,0,4,3,11,2,11,0,2,1,2,4
"Nolc1",1,3,1,5,2,3,4,0,1,0,1,3,0,0,0,0,2,0,0,0,1,0,1,0,0,2,0,2,1,0
"Efcab2",0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nat3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rbm6",1,0,0,1,7,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Lpin3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mir503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pygl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mmel1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magee2",1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DQ267100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qk",0,0,9,1,0,7,1,0,2,8,0,0,9,26,2,47,0,5,15,21,0,1,67,51,35,22,0,1,51,0
"Arhgap5",1,2,0,0,0,5,2,0,6,0,0,2,0,0,4,1,4,2,2,0,0,1,2,1,1,2,2,2,0,0
"Rps4y2",4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,4,3
"Cartpt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opn1sw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm7102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppm1n",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm8615",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
"Golga4",5,2,0,0,2,4,0,5,3,2,1,4,2,0,1,1,0,1,0,0,2,0,1,0,0,4,4,2,0,1
"Fdx1l",2,3,0,0,0,1,2,3,1,3,0,4,0,0,3,0,4,0,0,2,2,0,0,0,0,0,11,0,2,2
"Vps35",9,12,2,2,3,4,10,1,9,4,0,14,0,3,16,3,13,14,0,10,2,2,7,3,3,4,4,3,2,5
"Irak1",0,0,0,0,0,0,0,3,0,1,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0
"9930111J21Rik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lgi4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rspo4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfap2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300009A05Rik",0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
"Nenf",1,0,0,0,3,2,0,3,1,3,0,0,0,0,2,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0
"Rex2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eps15l1",1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
"Tnk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gpr82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexa",3,0,1,0,0,0,3,0,0,0,0,1,0,1,3,0,2,2,1,2,0,1,1,0,1,3,0,0,0,1
"Fktn",3,2,1,1,0,1,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Fxyd6",6,1,0,0,1,7,8,2,13,4,0,4,0,0,17,0,10,3,0,0,0,3,0,0,0,2,0,0,0,0
"Kcnf1",0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hsf2bp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zfp784",1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnq3",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnptg",7,1,0,0,0,3,2,0,3,2,0,1,2,0,2,1,0,3,2,4,0,6,1,1,1,1,0,0,0,0
"Scarna2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2afv",0,0,0,0,2,1,2,0,0,4,1,2,0,0,6,0,1,2,0,7,0,1,1,0,0,0,3,0,0,0
"Ms4a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luzp2",3,1,0,0,2,1,1,0,0,0,0,1,0,0,19,5,2,4,1,1,3,2,5,3,3,1,5,4,2,0
"Vegfb",0,0,0,0,0,1,1,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Btc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polr3b",0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"Fhad1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nrp2",0,0,0,0,4,0,1,3,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Urb1",0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"Rbm19",0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rgs13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snrnp40",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1
"Gm12228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atmin",1,1,0,2,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0
"Psma2",7,5,1,9,3,0,8,5,7,7,1,11,9,3,15,6,8,5,2,1,4,6,7,3,5,0,1,1,1,5
"Kntc1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spta1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc6a7",2,0,0,1,7,4,2,4,7,6,0,0,0,0,4,0,5,0,0,0,1,1,0,0,0,2,5,0,0,1
"Gad1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,149,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0
"Gad2",1,0,0,0,0,0,0,0,0,2,0,0,0,0,65,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Slc32a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Dner",2,1,0,0,1,2,0,8,1,1,0,8,0,0,72,0,9,3,0,0,2,4,0,1,0,0,1,1,0,3
"Slc2a13",1,1,0,0,0,5,4,3,0,0,0,0,0,0,45,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
"Slc6a1",0,0,1,0,0,3,0,0,1,0,0,0,1,0,36,2,0,0,3,2,0,3,0,1,0,1,3,0,0,0
"Nrxn3",1,9,1,6,0,9,0,0,12,8,0,5,0,0,142,0,1,2,0,1,1,5,0,0,0,3,10,2,0,6
